122,1,1,0,10,8,s122,d122,2013-05-12 00:04:00,3,2013-05-12 00:07:00,13,13.45,2013-05-12 00:04:34,0.72,2013-05-12 00:21:02,17.58,3.41,17,16.86,16.81,6.75,6.75,3.88,
304,1,1,0,407,404,s304,d304,2013-05-12 00:04:00,3,2013-05-12 00:07:00,10,10.16,2013-05-12 00:05:02,3.95,2013-05-12 00:21:02,19.00,4.90,16,15.05,12.69,12.35,12.35,6.71,
353,1,8,0,10,7,s353,d353,2013-05-12 00:04:00,3,2013-05-12 00:07:00,13,13.53,2013-05-12 00:04:02,0.00,2013-05-12 00:20:02,16.40,2.87,16,16.40,16.91,18.17,18.17,3.38,
6757,1,0,0,9,8,s6757,d6757,2013-05-12 00:04:27,3,2013-05-12 00:07:27,10,10.51,2013-05-12 00:05:02,1.67,2013-05-12 00:16:02,12.18,-0.00,11,10.51,13.14,3.28,3.28,5.57,
9749,1,1,0,140,138,s9749,d9749,2013-05-12 00:04:29,3,2013-05-12 00:07:29,11,11.91,2013-05-12 00:05:02,0.01,2013-05-12 00:20:02,15.22,3.30,15,15.21,14.88,13.81,13.81,2.98,
6628,1,0,0,8,6,s6628,d6628,2013-05-12 00:04:36,3,2013-05-12 00:07:36,11,11.70,2013-05-12 00:05:02,0.22,2013-05-12 00:21:02,16.12,4.20,16,15.90,14.62,6.44,6.44,3.03,
6688,1,1,0,392,388,s6688,d6688,2013-05-12 00:04:58,3,2013-05-12 00:07:58,11,11.43,2013-05-12 00:05:02,0.03,2013-05-12 00:16:02,11.45,-0.00,11,11.42,14.28,14.28,14.28,2.87,
40,1,0,0,8,6,s40,d40,2013-05-12 00:05:00,3,2013-05-12 00:08:00,11,11.80,2013-05-12 00:06:02,1.02,2013-05-12 00:22:02,17.27,4.45,16,16.25,14.75,6.88,6.88,3.54,
9731,0,-2147483648,0,0,0,s9731,d9731,2013-05-12 00:05:23,3,2013-05-12 00:08:23,13,13.16,2017-04-05 15:24:21,-1.00,2017-04-05 15:24:21,-1.00,-1.00,-1,-1.00,16.45,-1.00,0.00,0.00,
6626,1,0,0,8,6,s6626,d6626,2013-05-12 00:05:30,3,2013-05-12 00:08:30,12,12.02,2013-05-12 00:06:03,1.86,2013-05-12 00:18:02,13.94,0.06,12,12.08,15.03,3.78,3.78,5.99,
6582,1,1,0,323,321,s6582,d6582,2013-05-12 00:05:53,3,2013-05-12 00:08:53,12,12.74,2013-05-12 00:07:02,4.06,2013-05-12 00:22:02,19.24,2.43,15,15.17,15.93,7.91,7.91,6.59,
