0,3,40.74,false,36.86,46.08,36.86,46.08,
1,8,78.39,false,75.94,94.93,75.94,94.93,
2,2,24.60,false,23.10,28.87,23.10,28.87,
3,2,27.22,false,25.33,31.66,25.33,31.66,
4,5,53.91,false,52.49,65.61,52.49,65.61,
5,2,17.75,false,17.47,21.84,17.47,21.84,
6,1,12.23,false,12.14,15.18,12.14,15.18,
7,1,10.64,false,10.46,13.08,10.46,13.08,
8,5,35.83,false,35.26,44.07,35.26,44.07,
9,2,35.92,false,32.85,41.06,32.85,41.06,
10,6,67.05,false,66.38,82.97,66.38,82.97,
11,1,11.97,false,10.84,13.55,10.84,13.55,
12,2,23.00,false,22.89,28.61,22.89,28.61,
13,1,11.61,false,10.41,13.01,10.41,13.01,
14,20,150.22,false,142.93,178.66,142.93,178.66,
15,36,219.35,false,216.34,270.39,216.34,270.39,
16,1,11.50,false,11.47,14.34,11.47,14.34,
17,1,10.07,false,10.05,12.56,10.05,12.56,
18,1,11.03,false,10.96,13.70,10.96,13.70,
19,1,10.57,false,10.49,13.12,10.49,13.12,
20,1,14.73,false,14.39,17.99,14.39,17.99,
21,1,11.57,false,10.91,13.63,10.91,13.63,
22,1,11.45,false,11.42,14.28,11.42,14.28,
23,1,11.11,false,11.10,13.88,11.10,13.88,
24,1,12.04,false,11.79,14.73,11.79,14.73,
25,1,13.30,false,13.19,16.49,13.19,16.49,
26,6,59.73,false,55.97,69.96,55.97,69.96,
27,7,63.42,false,58.38,72.97,58.38,72.97,
28,1,11.57,false,11.45,14.31,11.45,14.31,
29,2,17.25,false,15.10,18.88,15.10,18.88,
30,1,13.40,false,13.02,16.28,13.02,16.28,
31,1,11.15,false,11.10,13.87,11.10,13.87,
32,1,14.94,false,14.39,17.99,14.39,17.99,
33,1,14.06,false,13.89,17.36,13.89,17.36,
34,1,11.39,false,11.30,14.13,11.30,14.13,
35,1,13.91,false,13.15,16.44,13.15,16.44,
36,1,12.92,false,12.87,16.09,12.87,16.09,
37,26,155.23,false,148.33,185.11,148.33,185.11,
38,4,55.01,false,52.44,65.54,52.44,65.54,
39,1,10.22,false,10.09,12.61,10.09,12.61,
40,4,40.33,false,38.21,47.76,38.21,47.76,
41,1,12.67,false,12.52,15.65,12.52,15.65,
42,2,27.73,false,25.73,32.16,25.73,32.16,
43,1,12.26,false,11.76,14.70,11.76,14.70,
44,1,23.12,false,22.94,28.67,22.94,28.67,
45,1,10.30,false,10.13,12.66,10.13,12.66,
46,6,45.85,false,43.16,53.95,43.16,53.95,
47,1,11.45,false,10.38,12.98,10.38,12.98,
48,10,63.99,false,60.90,76.09,60.90,76.09,
49,3,37.54,false,35.63,44.54,35.63,44.54,
50,1,11.37,false,11.32,14.15,11.32,14.15,
51,1,11.28,false,10.52,13.15,10.52,13.15,
52,1,16.19,false,16.05,20.06,16.05,20.06,
53,1,11.45,false,11.33,14.17,11.33,14.17,
54,1,11.53,false,11.00,13.76,11.00,13.76,
55,1,11.62,false,11.55,14.44,11.55,14.44,
56,8,63.92,false,58.18,72.72,58.18,72.72,
57,1,13.89,false,13.69,17.11,13.69,17.11,
58,1,10.35,false,10.31,12.89,10.31,12.89,
59,1,11.52,false,11.19,13.99,11.19,13.99,
