122,1,2,0,10,8,s122,d122,2013-05-12 00:04:00,3,2013-05-12 00:07:00,13,13.45,2013-05-12 00:05:02,1.13,2013-05-12 00:22:02,18.02,3.44,17,16.89,16.81,7.28,7.28,4.43,
304,1,1,0,408,405,s304,d304,2013-05-12 00:04:00,3,2013-05-12 00:07:00,10,10.16,2013-05-12 00:05:02,3.36,2013-05-12 00:20:02,18.41,4.90,15,15.05,12.69,12.35,12.35,5.54,
353,1,14,0,10,7,s353,d353,2013-05-12 00:04:00,3,2013-05-12 00:07:00,13,13.53,2013-05-12 00:04:02,0.63,2013-05-12 00:24:02,20.50,6.35,20,19.87,16.91,17.67,17.67,3.70,
6757,1,0,0,9,8,s6757,d6757,2013-05-12 00:04:27,3,2013-05-12 00:07:27,10,10.51,2013-05-12 00:05:09,1.54,2013-05-12 00:16:02,12.04,-0.00,11,10.51,13.14,3.28,3.28,4.55,
9749,1,1,0,142,140,s9749,d9749,2013-05-12 00:04:29,3,2013-05-12 00:07:29,11,11.91,2013-05-12 00:07:02,2.43,2013-05-12 00:20:02,15.13,0.79,13,12.70,14.88,10.67,10.67,4.19,
6628,1,0,0,8,6,s6628,d6628,2013-05-12 00:04:36,3,2013-05-12 00:07:36,11,11.70,2013-05-12 00:05:02,0.44,2013-05-12 00:18:02,13.87,1.74,13,13.43,14.62,5.22,5.22,3.14,
6688,1,1,0,394,390,s6688,d6688,2013-05-12 00:04:58,3,2013-05-12 00:07:58,11,11.43,2013-05-12 00:05:02,4.92,2013-05-12 00:23:02,22.00,5.66,18,17.09,14.28,14.41,14.41,7.17,
40,1,0,0,8,6,s40,d40,2013-05-12 00:05:00,3,2013-05-12 00:08:00,11,11.80,2013-05-12 00:06:02,1.24,2013-05-12 00:20:02,15.02,1.99,14,13.78,14.75,4.69,4.69,3.65,
9731,0,-2147483648,0,0,0,s9731,d9731,2013-05-12 00:05:23,3,2013-05-12 00:08:23,13,13.16,2017-04-05 15:24:02,-1.00,2017-04-05 15:24:02,-1.00,-1.00,-1,-1.00,16.45,-1.00,0.00,0.00,
6626,1,0,0,8,6,s6626,d6626,2013-05-12 00:05:30,3,2013-05-12 00:08:30,12,12.02,2013-05-12 00:07:02,2.08,2013-05-12 00:23:02,18.06,3.97,16,15.99,15.03,6.07,6.07,5.84,
6582,1,1,0,321,319,s6582,d6582,2013-05-12 00:05:53,3,2013-05-12 00:08:53,12,12.74,2013-05-12 00:07:02,4.05,2013-05-12 00:22:02,19.22,2.43,15,15.17,15.93,10.56,10.56,6.19,
9688,1,0,0,8,6,s9688,d9688,2013-05-12 00:05:56,3,2013-05-12 00:08:56,11,11.93,2013-05-12 00:07:06,2.13,2013-05-12 00:24:02,19.17,5.11,17,17.04,14.92,7.43,7.43,5.38,
